translated_var,finbif_api_var,dtype,lite_download_var
day,Gathering.Conversions.Day,int,
ordinal_day_start,Gathering.Conversions.DayOfYearBegin,int,Alkupäivän numero
ordinal_day_end,Gathering.Conversions.DayOfYearEnd,int,Loppupäivän numero
coordinates_uncertainty_interpreted,Gathering.Interpretations.CoordinateAccuracy,int,Paikan tarkkuus (m)
coordinates_source,Gathering.Interpretations.CoordinateSource,category,
country_id,Gathering.Interpretations.Country,object,
bio_province_interpreted,Gathering.Interpretations.Bioprovince,object,Eliömaakunta
municipality,Gathering.Interpretations.Municipality,object,Kunta
country_source,Gathering.Interpretations.CountrySource,object,
bio_province_source,Gathering.Interpretations.BioProvinceSource,object,
municipality_source,Gathering.Interpretations.MunicipalitySource,object,
state_land,Gathering.StateLand,bool,
accurate_area,Gathering.AccurateArea,bool,
higher_geography,Gathering.HigherGeographyVerbatim,object,
country_verbatim,Gathering.CountryVerbatim,object,Maa
municipality_verbatim,Gathering.MunicipalityVerbatim,object,
province_verbatim,Gathering.BioProvinceVerbatim,object,
region_verbatim,Gathering.ProvinceVerbatim,object,
locality,Gathering.LocalityVerbatim,object,Sijainti
event_notes,Gathering.Notes,object,Keruutapahtuman lisätiedot
event_media_count,Gathering.MediaCount,int,
document_id,Document.DocumentID,object,Havaintoerän tunniste
restriction_level,Document.DataSecureLevel,category,Sijainnin karkeistustaso
restriction_reason,Document.DataSecureReasons,category,Karkeistuksen syy
is_partial,Document.PartialDocument,bool,
collection_id,Document.CollectionID,object,
license,Document.License,category,
data_source,Document.OriginalDataSource,category,
collection_quality,Document.Linkings.CollectionQuality,category,Aineiston laatu
document_issue,Document.Quality.Issue.Issue,category,
document_issue_source,Document.Quality.Issue.Source,category,
document_issue_message,Document.Quality.Issue.Message,object,
source_id,Document.SourceID,object,Lähdejärjestelmä
site_type,Document.MonitoringSiteType,category,
site_status,Document.MonitoringSiteStatus,category,
document_keywords,Document.Keywords,object,
first_load_date,Document.FirstLoadDate,object,
load_date,Document.LoadDate,object,
date_created,Document.Created,object,
modified_date,Document.Modified,object,
document_notes,Document.Notes,object,
document_media_count,Document.MediaCount,int,
namedplace_id,Document.NamedPlaceID,object,
geometry,geometry,geometry,geometry
name_according_to,Unit.NameAccordingTo,category,
detailed_record_basis,Unit.DetailedRecordBasis,category,
taxon_checklist,Unit.Linkings.Taxon.Checklist,category,
collection_name,,object,Aineisto
formatted_taxon_name,,object,Laji
sensitive,,bool,Sensitiivinen laji
primary_habitat,,object,Ensisijainen biotooppi
n_total_finnish_records,,int,Taksonin havaintojen lukumäärä Suomessa
coordinates_verbatim,,object,Koordinaatit sanatarkasti
coordinates_10_center_ykj,,object,YKJ 10km havaintoalueen keskipisteen ruutu
coordinates_10_ykj,,object,YKJ 10km havaintoalue kokonaan ruudussa
coordinates_1_center_ykj,,object,YKJ 1km havaintoalueen keskipisteen ruutu
coordinates_1_ykj,,object,YKJ 1km havaintoalue kokonaan ruudussa
